Antwerp,Antwerp International Airport,ANR
Brussels,Brussels Airport,BRU
Brussels,Brussels South Charleroi Airport,CRL
Liège,Liège Airport,LGG
Ostend,Ostend-Bruges International Airport,OST
Ajaccio,Campo dell'Oro Airport,AJA
Bastia,Poretta Airport,BIA
Beauvais,Beauvais-Tillé Airport,BVA
Bergerac,Bergerac-Roumanière Airport,EGC
Béziers,Béziers Cap d'Agde Airport,BZR
Biarritz,Biarritz Airport,BIQ
Bordeaux,Mérignac Airport,BOD
Brest,Brest Bretagne Airport,BES
Carcassonne,Salvaza Airport,CCF
Châlons-en-Champagne,Châlons Vatry Airport,XCR
Chambéry,Chambéry-Savoie Airport,CMF
Dinard,Pleurtuit Airport,DNR
Figari,Figari Sud-Corse Airport,FSC
Grenoble,Grenoble-Isère Airport,GNB
Ile de Re,Île de Ré Airport,LRH
Lille,Lille Lesquin Airport,LIL
Limoges,Bellegarde Airport,LIG
Lyon,Saint-Exupéry Airport,LYS
Marseille,Provence Airport,MRS
Mulhouse,Basel-Mulhouse-Freiburg Airport,BSL
Nantes,Nantes Atlantique Airport,NTE
Nice,Côte d'Azur Airport,NCE
Nîmes,Garons Airport,FNI
Paris,Charles de Gaulle Airport,CDG
Paris,Orly Airport,ORY
Pau,Uzein Airport,PUF
Perpignan,Llabanère Airport,PGF
Poitiers,Biard Airport,PIS
Rodez,Marcillac Airport,RDZ
Saint Etienne,Bouthéon Airport,EBU
Strasbourg,Strasbourg Airport,SXB
Toulon,Hyères Le Palyvestre Airport,TLN
Toulouse,Blagnac Airport,TLS
Tours,Tours Loire Valley Airport,TUF
Gibraltar,North Front Airport,GIB
Guernsey,Guernsey Airport,GCI
Jersey,Jersey Airport,JER
Cork,Cork Airport,ORK
Dublin,Dublin Airport,DUB
Kerry,Kerry Airport,KIR
Knock,Ireland West Airport Knock,NOC
Shannon,Shannon Airport,SNN
Isle of Man,Isle of Man Airport,IOM
Luxembourg City,Findel Airport,LUX
Amsterdam,Amsterdam Airport Schiphol,AMS
Eindhoven,Eindhoven Airport,EIN
Groningen,Groningen Airport Eelde,GRQ
Maastricht,Maastricht-Aachen Airport,MST
Rotterdam,Rotterdam The Hague Airport,RTM
Beja,Beja Airport,BYJ
Faro,Faro Airport,FAO
Funchal,Madeira Airport,FNC
Porto Santo Island,Porto Santo Airport,PXO
Lisbon,Humberto Delgado Airport,LIS
Porto,Francisco Sá Carneiro Airport,OPO
Ponta Delgada,João Paulo II Airport,PDL
Terceira Island,Terceira Airport,TER
A Coruña,Alvedro Airport,LCG
Alicante,Alicante Airport,ALC
Almeria,Almería International Airport,LEI
Asturias,Asturias Airport,OVD
Barcelona,Barcelona Airport,BCN
Fuerteventura,Fuerteventura Airport,FUE
Girona,Girona-Costa Brava Airport,GRO
Gran Canaria,Gran Canaria Airport,LPA
Granada,Granada Airport,GRX
Huesca,Huesca-Pirineos Airport,HSK
Ibiza,Ibiza Airport,IBZ
Jerez de la Frontera,Jerez Airport,XRY
La Palma,La Palma Airport,SPC
Lanzarote,Lanzarote Airport,ACE
Lleida,Alguaire Airport,ILD
Madrid,Madrid-Barajas Airport,MAD
Málaga,Málaga Airport,AGP
Menorca,Menorca Airport,MAH
Murcia,Murcia-San Javier Airport,MJV
Palma de Mallorca,Palma de Mallorca Airport,PMI
Reus,Reus Airport,REU
Santander,Santander Airport,SDR
Santiago de Compostela,Santiago de Compostela Airport,SCQ
Seville,Seville Airport,SVQ
Tenerife,Tenerife North Airport,TFN
Tenerife,Tenerife South Airport,TFS
Valencia,Valencia Airport,VLC
Valladolid,Valladolid Airport,VLL
Zaragoza,Zaragoza Airport,ZAZ
Graz,Graz Airport,GRZ
Klagenfurt,Klagenfurt Airport,KLU
Innsbruck,Innsbruck Airport,INN
Linz,Linz Airport,LNZ
Salzburg,Salzburg Airport,SZG
Vienna,Vienna International Airport,VIE
Baden-Baden,Karlsruhe,FKB
Berlin,Berlin Tegel Airport,TXL
Berlin,Berlin Schönefeld Airport,SXF
Berlin,Berlin Brandenburg Airport,BER
Bremen,Bremen Airport,BRE
Cologne,Cologne,CGN
Dortmund,Dortmund Airport,DTM
Düsseldorf,Düsseldorf Airport,DUS
Frankfurt,Frankfurt Airport,FRA
Frankfurt,Frankfurt-Hahn Airport,HHN
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,MLH
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,BSL
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,EAP
Friedrichshafen,Friedrichshafen Airport,FDH
Hamburg,Hamburg Airport,HAM
Hanover,Langenhagen Airport,HAJ
Leipzig,Leipzig,LEJ
Lübeck,Lübeck Airport,LBC
Memmingen,Memmingen Airport,FMM
Munich,Munich Airport,MUC
Nuremberg,Albrecht Dürer Airport,NUE
Stuttgart,Stuttgart Airport,STR
Weeze,Weeze Airport,NRN
Athens,Athens International Airport,ATH
Chania,Chania International Airport,CHQ
Chios Island,Chios Island National Airport,JKH
Corfu,Ioannis Kapodistrias Airport,CFU
Heraklion,Heraklion International Airport,HER
Kalamata,Kalamata International Airport,KLX
Karpathos Island,Karpathos Island National Airport,AOK
Kavala,Kavala International Airport,KVA
Kefalonia Island,Kefalonia Island International Airport,EFL
Kos Island,Kos Island International Airport,KGS
Mykonos Island,Mykonos Island National Airport,JMK
Mytilene,Mytilene International Airport,MJT
Preveza,Aktion National Airport,PVK
Rhodes,Rhodes International Airport,RHO
Samos,Samos International Airport,SMI
Santorini,Santorini National Airport,JTR
Skiathos Island,Skiathos Island National Airport,JSI
Skyros Island,Skyros Island National Airport,SKU
Thessaloniki,Thessaloniki International Airport,SKG
Volos,Nea Anchialos National Airport,VOL
Zakynthos,Zakynthos International Airport,ZTH
